Ｈ25基準地番号,所在地,｢住居表示｣,地積(平方メートル),価格(円/平方メートル),変動率,周辺の土地利用,X座標,Y座標
(県)裾野-8,裾野市須山字藤原2255番1628,,468,"7,500",-1.3,別荘が多い富士山麓の別荘地域,27115.18371,-81746.38653
(県)裾野5-1,裾野市平松字上ノ原442番2外,,165,"120,000",0.0,小売店舗のほか飲食店等も混在する既成商業地域,37291,-91459
(県)裾野9-1,裾野市金沢字横山下8番2外,,3562,"42,700",0.0,工場、倉庫のほかに住宅も見られる工業地域,36767.01786,-86497.18968
(県)湖西-1*,湖西市鷲津字小名川1040番1外,,210,"70,000",-0.7,一般住宅等が建ち並ぶ利便性の良い住宅地域,-87541.29094,-142609.2103
(県)湖西-2,湖西市梅田字ムメタ397番5,,134,"66,000",0.0,小規模の一般住宅の中に空地等が見られる住宅地域,-92785,-140360
(県)湖西-3,湖西市新居町新居字若宮135番1,,257,"50,500",-9.5,一般住宅の中に事業所等も見られる住宅地域,-85188.33663,-145141.5555
(県)湖西-4,湖西市新居町中之郷字あけぼの3943番,,227,"67,000",選定替,中規模の一般住宅が建ち並ぶ区画整然とした住宅地域,-87184,-143030
(県)湖西-5,湖西市新所字中岡2820番6,,242,"34,000",-5.6,中規模住宅が多い集落内の区画整然とした住宅地域,-88422.42993,-139983.2566
(県)湖西-6,湖西市白須賀字高見街3916番外,,257,"30,200",-1.0,店舗等が見られる旧街道沿いの古くからの住宅地域,-91634,-144866
(県)湖西5-1,湖西市新所原3丁目13番137外,「新所原３−３−33」,101,"84,700",-2.0,小売店舗、営業所等が建ち並ぶ県道沿いの駅前の商業地域,-92862.41805,-141103.8845
(県)湖西9-1,湖西市吉美字笠子3425番,,3301,"24,500",-1.6,中規模工場が建ち並ぶ街区整然とした工業団地,-90199.51384,-143102.0081
(県)伊豆-1,伊豆市牧之郷字沖の原180番1,,161,"63,500",-2.3,一般住宅の中に駐車場等が見られる住宅地域,40593,-111637
(県)伊豆-2,伊豆市修善寺字中畑651番3,,164,"60,500",-3.4,一般住宅の中に空地等も見られる住宅地域,39730.04418,-113652.821
(県)伊豆-3,伊豆市上白岩字上村734番1,,351,"37,500",-2.6,一般住宅の中にアパート等も見られる住宅地域,43926,-114884
(県)伊豆-4,伊豆市土肥字下砂田2666番14外,,211,"44,000",-6.0,一般住宅の中に医院等が見られる住宅地域,26736,-120998
(県)伊豆-5,伊豆市湯ヶ島字大原17番,,272,"33,700",-3.2,一般住宅が多い既存の住宅地域,39319,-122684
(県)伊豆-6,伊豆市雲金字北村80番1,,293,"32,700",-3.3,農家住宅、一般住宅が混在する住宅地域,39929,-116566
(県)伊豆-7,伊豆市冷川字セギ354番1,,382,"18,100",-1.1,農家住宅の中に農地等も見られる住宅地域,48080,-116753
(県)伊豆5-1,伊豆市柏久保字坂下626番4,,60,"102,000",-1.9,各種店舗が連たんする駅前商店街,41153.24871,-113205.9583
(県)伊豆5-2,伊豆市土肥字出口466番14,,233,"66,000",-5.7,店舗、事務所、旅館等が建ち並ぶ商業地域,26761.47423,-120697.0273
(県)伊豆5-3,伊豆市青羽根字海戸355番2,,149,"46,000",-2.1,小売店舗が建ち並ぶ路線商業地域,39547.84162,-118677.158
(県)伊豆5-4,伊豆市八幡字台460番3,,240,"46,300",-0.4,小売店舗の中に一般住宅も見られる県道沿いの商業地域,45433,-115993
(県)御前崎-1,御前崎市佐倉字法ノ沢1565番1外,,381,"18,300",-2.1,農家住宅、一般住宅のほか、社宅等も見られる住宅地域,-31137.61829,-151860.3322
(県)御前崎-2,御前崎市合戸字西前477番1,,611,"13,200",-2.9,農家住宅のほか一般住宅も見られる住宅地域,-38045.01803,-149108.1115
(県)御前崎-3,御前崎市白羽字道田1104番8,,333,"16,400",-2.4,農地の中に一般住宅、農家住宅、共同住宅等が散在する住宅地域,-29563.57719,-153350.5619
(県)御前崎-4,御前崎市白羽字曽根5372番10,,279,"19,800",-2.0,一般住宅等の間に農地が介在する住宅地域,-27443.88102,-154038.1061
(県)御前崎5-1,御前崎市池新田字下松原坪3261番3外,,264,"28,000",選定替,小売店舗が見られる県道沿いの商業地域,-34012,-149861
(県)菊川-1,菊川市柳2丁目106番1,,287,"43,500",0.0,一般住宅が建ち並ぶ区画整理済みの住宅地域,-37671.69126,-136687.9978
(県)菊川-2,菊川市河東字宮田104番2外,,188,"23,700",-1.7,中規模一般住宅が建ち並ぶ郊外の住宅地域,-37307.30873,-145624.3383
(県)菊川-3,菊川市川上字五ヶ谷下1908番4,,693,"12,100",-0.8,農地の中に農家住宅が見られる古くからの住宅地域,-35796.66923,-144758.35
(県)菊川5-1,菊川市朝日1番16,,264,"66,500",-2.1,低層店舗のほかに住宅が混在する路線商業地域,-37596.91067,-138244.0376
(県)伊豆の国-1,伊豆の国市長岡字別所465番3,,165,"74,500",-0.7,一般住宅のほかにアパート等が見られる住宅地域,38931.98825,-107327.1843
(県)伊豆の国-2,伊豆の国市天野字出口58番,,216,"85,800",-0.2,一般住宅のほかにアパート等が見られる住宅地域,39985.45652,-107645.6207
(県)伊豆の国-3,伊豆の国市原木字六斗台620番1,,198,"86,500",0.0,一般住宅のほかに農地の多い新興住宅地域,40166.74083,-103591.8012
(県)伊豆の国-4,伊豆の国市三福字横落150番6,,222,"82,300",-0.2,中小規模の一般住宅が多い利便性の良い住宅地域,40663.12622,-109989.1345
(県)伊豆の国-5,伊豆の国市田京字西川戸120番9,,185,"83,600",-0.2,中小規模の一般住宅が多い利便性の良い住宅地域,40750.25223,-109322.4384
(県)伊豆の国-6,伊豆の国市南江間字鳥井前760番2,,300,"58,300",-1.0,一般住宅と農家住宅が混在する住宅地域,39639.7042,-104789.5481
(県)伊豆の国-7,伊豆の国市韮山山木字荒久1224番354,,294,"8,500",-1.2,大規模に開発された高台の別荘地域,44106.14255,-104839.3149
(県)伊豆の国5-1,伊豆の国市古奈字中之台241番2,,166,"96,000",-0.2,小売店舗や旅館等が混在する商業地域,40112,-106867
(県)伊豆の国5-2,伊豆の国市南條字台地733番4,,63,"107,000",-0.9,銀行、小売店舗等が建ち並ぶ駅前の商業地域,40729.08265,-106465.1058
(県)伊豆の国5-3,伊豆の国市田京字西ノ町299番11,,97,"89,200",-0.9,中小規模の小売店舗が集まる大仁支所に近い商業地域,40611.15308,-109227.133
(県)牧之原-1,牧之原市布引原字四の耕地417番2,,326,"31,000",0.0,農地が多い中、一般住宅を主に農家住宅、工場が散在する地域,-32632.28739,-135809.6707
(県)牧之原-2,牧之原市波津1丁目50番,,173,"45,500",-0.7,中規模一般住宅が多い区画整理済みの住宅地域,-28143.68518,-146082.153
(県)牧之原-3,牧之原市静波字七ノ坪2306番9,,230,"32,700",-9.7,一般住宅を主にアパートや倉庫等も見られる住宅地域,-25292.31827,-140596.9825
(県)牧之原5-1,牧之原市相良字横町86番1,,132,"39,400",-8.2,低層の店舗併用住宅の多い路線背後の商業地域,-27605.01539,-145961.1465
(県)牧之原5-2,牧之原市静波字柏原486番9,,300,"38,500",-5.2,小売店舗兼住宅が連たんする既成商業地域,-25349.27462,-139599.4782
(県)牧之原9-1,牧之原市細江字白羽6165番1,,4466,"21,600",-4.8,中小工場、住宅等が混在しているが、未だ農地も多い地域,-24135.41314,-137389.9188
(県)東伊豆-1,賀茂郡東伊豆町奈良本字トドキ1280番37,,200,"30,700",-2.5,一般住宅等のほかに農地も残る住宅地域,51348.14374,-131583.5096
(県)東伊豆-2,賀茂郡東伊豆町片瀬564番11外,,198,"46,800",-3.5,一般住宅等が建ち並ぶ区画整然とした住宅地域,51277.90925,-132481.9835
(県)東伊豆5-1,賀茂郡東伊豆町稲取字清水417番1,,76,"69,000",-3.0,小売店舗のほかに事務所等も見られる商業地域,49540.08932,-136285.9323
(県)河津-1,賀茂郡河津町見高字上松山1260番78,,323,"21,800",-0.9,一般住宅が見られる国道背後の閑静な住宅地域,47537.95734,-137666.883
(県)河津-2,賀茂郡河津町下佐ケ野字平田64番5,,168,"30,500",-3.2,一般住宅、店舗等が混在する国道沿いの住宅地域,40112,-106867
(県)河津5-1,賀茂郡河津町峰字中里495番8,,180,"45,000",-3.2,小規模店舗が建ち並ぶ県道沿いの路線商業地域,44271.63741,-137867.1377
(県)南伊豆-1,賀茂郡南伊豆町妻良字東条505番,,122,"13,600",-5.6,一般住宅、漁家住宅が混在する港に近い住宅地域,26727.12133,-148755.6192
(県)南伊豆-2,賀茂郡南伊豆町手石字宮ノ前343番1外,,366,"22,500",-5.1,一般住宅、農家住宅等が混在する住宅地域,35059.76598,-150930.6622
(県)松崎-1,賀茂郡松崎町江奈字川久保71番5,,141,"39,700",-5.9,一般住宅を中心に農家住宅等も見られる住宅地域,25938,-137808
(県)松崎-2,賀茂郡松崎町吉田字吉田39番2,,297,"17,900",-4.8,農地が多い中に農家住宅が散在する郊外の住宅地域,28223,-137713
(県)松崎5-1,賀茂郡松崎町松崎字上向浜363番6外,,161,"44,800",-6.1,店舗併用住宅を中心に事務所や一般住宅等が介在する商業地域,25375,-138168
(県)西伊豆-1,賀茂郡西伊豆町田子字月之浦1565番15外,,91,"34,100",-7.1,細街路沿いに小規模住宅が密集する漁港近くの住宅地域,24163,-133002
(県)西伊豆-2,賀茂郡西伊豆町仁科字北耕地1136番2,,257,"43,300",-5.3,中規模一般住宅を中心に農地も多く見られる住宅地域,25346.3891,-136124.4413
(県)西伊豆-3,賀茂郡西伊豆町宇久須字大久保1136番5,,198,"22,500",-5.1,農地の中に一般住宅が散在する地域,26286.55406,-127719.1118
(県)西伊豆-4,賀茂郡西伊豆町安良里字天坂663番1,,165,"31,000",-6.1,一般住宅、店舗等の混在する漁村集落地域,24473.71296,-130286.9602
(県)西伊豆5-1,賀茂郡西伊豆町仁科字南耕地270番1,,357,"55,400",-5.1,店舗、事務所等が建ち並ぶ国道沿いの商業地域,25373.03345,-136556.9816
(県)函南-1,田方郡函南町仁田字沢ノ前25番9,,165,"105,000",1.0,一般住宅の中にアパート等も見られる住宅地域,40311.20701,-101009.5691
(県)函南-2,田方郡函南町塚本字反里田100番6外,,164,"97,000",1.0,一般住宅が建ち並ぶ住宅地域,39653.38477,-102313.2592
(県)函南-3,田方郡函南町仁田字油免685番7,,147,"97,000",1.0,一般住宅が建ち並ぶ住宅地域,41159.01818,-101330.5298
(県)函南-4,田方郡函南町柏谷字城山723番32,,167,"79,000",0.0,中規模一般住宅が多い高台の閑静な住宅地域,42026.81804,-101830.6639
(県)函南-5,田方郡函南町塚本字北村367番12外,,145,"90,500",0.6,一般住宅のほかアパート等も見られる住宅地域,39354,-102111
(県)函南5-1,田方郡函南町間宮字板倉52番2,,99,"110,000",0.0,小売店舗、飲食店舗等が多い駅に近い既成商業地域,39962.2779,-100709.6768
(県)清水町-1,駿東郡清水町八幡字大天原218番6外,,156,"116,000",0.0,一般住宅、アパート等が混在する住宅地域,36420.08298,-99177.74354
(県)清水町-2,駿東郡清水町伏見字檜皮免22番1外,,142,"127,000",0.8,一般住宅のほかアパートも見られる住宅地域,36627.10226,-98336.64598
(県)清水町-3,駿東郡清水町徳倉字仲田1083番4,,165,"96,200",0.0,一般住宅が建ち並ぶ区画整然とした住宅地域,36053.9604,-101329.1954
(県)清水町5-1,駿東郡清水町伏見字堂之口143番7,,1207,"139,000",-0.7,店舗、営業所等が建ち並ぶ国道沿いの路線商業地域,36344.60495,-98800.8082
(県)長泉-1,駿東郡長泉町南一色字大林66番33,,166,"106,000",1.0,中規模一般住宅の中に空地等が見られる郊外の住宅地域,36223.0487,-94137.26701
(県)長泉-2,駿東郡長泉町上土狩字蔵場下440番24,,149,"113,000",0.9,中規模一般住宅が多い郊外の住宅地域,39354,-102111
(県)長泉-3,駿東郡長泉町竹原字堂免318番33,,140,"131,000",0.8,一般住宅等が建ち並ぶ保育園に近い住宅地域,36244.88129,-97657.96771
